Number of Nodes,Brushfire mean,NNs mean,Mean distance,Mean minimun distance,Class
13,66.8461538462,2.6153846154,210.2216768447,43.9290864183,0
10,68.8,2.2,380.1992756052,153.2092401222,0
11,68.5454545455,2.6363636364,405.7886166415,92.8725234147,0
5,51.8,2,174.0148788373,55.467580357,1
6,93.8333333333,2.6666666667,110.0987478537,34.3265844289,0
6,69,2.5,134.3655236014,67.8861746223,0
13,66.6923076923,2.7692307692,228.1544424974,27.2327845343,0
21,58.2380952381,2.4761904762,186.3377872922,24.1735793186,0
51,61.2156862745,2.4117647059,256.0153806678,24.8080006997,0
4,38.75,1.75,110.7481722039,51.0593710404,0
6,81.3333333333,2.5,92.971951259,42.984103978,0
19,70.8421052632,2.6842105263,262.6312346825,41.165217669,0
14,68.7142857143,2.6428571429,461.4595828379,84.341687519,0
6,72.8333333333,2.5,52.3755633524,24.1747243586,1
17,72.1764705882,2.4705882353,295.2230344556,51.3347822959,0
1,82,2,152.05262247,152.05262247,1
31,70.8387096774,2.6774193548,392.3276544093,35.1221812761,0
14,68.4285714286,2.2142857143,123.5004557655,35.3777255429,0
12,84.9166666667,2.8333333333,223.9726875327,45.2682356085,0
18,82.5555555556,2.5555555556,322.7326269181,53.6418752563,0
1,68,2,263.0019011338,263.0019011338,1
29,81.3448275862,2.5172413793,432.3104549817,50.624467029,0
6,68.5,2.3333333333,294.5810524223,96.6428243484,0
3,68.3333333333,2.3333333333,192.3868751092,134.119964342,1
66,80.6515151515,2.6363636364,568.488371249,49.8374069709,1
3,81,2.3333333333,225.6528429105,124.0329606867,0
2,58,1.5,107.2986486401,107.2986486401,0
3,69.3333333333,2.3333333333,236.9953684525,164.7352832327,0
2,92,1.5,105,105,1
13,66,2.6153846154,222.1254650729,30.9266440987,0
15,64,2.6666666667,287.1174884056,40.44162475,0
2,59,1.5,90.4709898255,90.4709898255,0
4,39.75,1.75,67.4371225534,19.9486503388,0
6,63.8333333333,1.8333333333,80.1964740061,26.5221550242,0
18,87.4444444444,2.3888888889,431.1603736092,72.3804889721,0
9,65.7777777778,2.3333333333,180.2975755275,85.4209656429,0
21,94.2857142857,2.5238095238,448.9801181869,33.6803823558,1
16,82.875,2.5,207.2569603452,46.3533005869,0
2,114,1.5,7,7,0
17,65.6470588235,2.5882352941,306.3309432928,49.8234241435,0
3,113.3333333333,1.6666666667,8.6933331297,4.6805315263,0
14,91.3571428571,2.5714285714,165.5442809091,41.1448192869,0
7,125,2.2857142857,128.6495423152,49.0406684061,1
17,72.3529411765,2.2941176471,197.4181023392,37.2134450659,0
8,72,2.125,110.9648256831,16.3432133745,0
7,100.4285714286,2.7142857143,153.0441094686,70.5903919248,0
4,68.75,2.25,183.9938200699,107.5364316147,0
7,68.1428571429,2.5714285714,171.0467339633,60.2637608879,1
1,125,1,134.0037312913,134.0037312913,0
11,68.1818181818,2.6363636364,174.5816002947,32.9367563612,1
4,68.75,2.25,298.598311356,190.5160449146,0
7,40,1.8571428571,108.8762761613,28.0330712951,0
13,68.7692307692,2.5384615385,167.819619636,46.7889351555,0
4,63.5,2.25,26.7349716248,13.5106334863,1
2,66.5,1.5,50,50,0
6,69.1666666667,2.8333333333,176.5502080996,87.8337542061,0
5,68.2,2.6,99.2406324546,51.5097845251,0
4,86,1.75,25.8704596426,12.5458220571,0
11,64.8181818182,2.2727272727,282.2373550698,73.9691253281,0
7,66.5714285714,2.4285714286,108.8479385468,55.179069867,0
4,94.75,1.75,83.1689400977,50.2413054702,0
10,65.8,2.4,137.6069738443,52.5471200693,0
4,68.75,2.25,144.8643839068,83.9144800165,0
5,77,2.8,45.3984528675,21.4276727501,1
4,68.5,2.25,274.9597910622,176.8541839776,0
6,72.6666666667,2.5,24.8511258815,12.8853363801,1
20,66.85,2.65,354.2945130741,38.8666205249,0
7,114.8571428571,2.1428571429,60.7064671653,15.4348908693,0
4,87,1.75,126.1660921591,56.7611463692,0
3,95.3333333333,2.3333333333,60.0360173317,38.7282872053,1
6,68.5,2.3333333333,209.0259782805,85.1094651331,0
7,70.7142857143,2.1428571429,39.0384693779,13.1528034789,0
3,97.3333333333,2.3333333333,60.7003777949,40.056672364,1
6,75.3333333333,1.8333333333,47.2084551043,12.5147623254,0
19,62.0526315789,2.4736842105,301.3590536127,52.7199157025,0
8,68,2.5,217.9576673679,63.5067921198,0
6,68.3333333333,2.5,83.7298116815,43.5305625994,0
15,81.5333333333,2.5333333333,200.7127539085,47.1516446983,1
4,68.75,2.25,134.7265735365,90.7292173352,0
11,67.7272727273,2.5454545455,212.067820762,60.8530258141,0
5,88,2.6,142.7780322301,75.9484800558,0
2,108.5,1.5,39.0128184063,39.0128184063,0
11,59.3636363636,2.2727272727,686.1284133875,152.738849817,0
8,67.375,2.5,35.326553474,17.898291091,1
17,69.7058823529,2.2941176471,347.7679006606,32.7996068891,1
4,68.75,2.25,270.7913966651,158.0070768292,0
18,85.2777777778,2.6111111111,224.9347764783,27.2137952306,0
2,112,1.5,11,11,0
11,67.9090909091,2.5454545455,152.7551967628,63.6607838737,0
7,59.2857142857,2.1428571429,170.0355409893,74.043619069,0
4,68.75,2.25,200.3004769044,72.0855198254,0
27,68.4074074074,2.5185185185,524.6759060735,66.4083318358,1
4,68.75,2.25,255.8909774303,157.6055695988,0
7,68.2857142857,2.7142857143,236.7091633425,121.3193504182,0
13,79.0769230769,2.5384615385,331.4469967207,69.379481224,0
15,76.8666666667,2.4,365.1874846751,57.2825218001,0
12,65.5,2.4166666667,228.2635209804,56.2065309693,0
6,68.3333333333,2.5,152.045416488,79.1495188104,0
2,150.5,1.5,64.0078120232,64.0078120232,0
4,150,2.5,94.8597208899,32.0620030769,1
2,249.5,1.5,100.004999875,100.004999875,0
1,86,1,438.2065722921,438.2065722921,0
1,193,2,258.8146054611,258.8146054611,0
4,125.5,1.75,79.5401356357,33.6097722286,0
10,61.7,2.2,287.9107310821,30.5031143066,1
12,66.25,2.3333333333,187.455555184,30.6687956159,1
7,107.7142857143,2.2857142857,145.0303896642,49.0069099321,1
9,182.5555555556,2.2222222222,263.6038968726,30.2226277318,0
3,148,1.6666666667,227.3372471582,168.0029812927,0
9,41.5555555556,2.7777777778,226.6741244302,51.8903513164,1
6,301.8333333333,2.8333333333,188.2929872564,52.8340517108,0
3,76.3333333333,1.6666666667,54,27.3333333333,0
3,117.3333333333,1.6666666667,26.6666666667,13.6666666667,0
4,156.25,1.75,42.3666715398,17.0495097568,0
3,90.6666666667,1.6666666667,302.3976602315,123.7357529556,0
11,126,2.1818181818,440.3250093131,73.1622352176,1
7,172.2857142857,2.1428571429,202.8841173668,90.9793731776,0
2,188.5,1.5,130.003846097,130.003846097,0
9,155.6666666667,2.1111111111,123.1931538502,51.8050283189,0
4,188.75,2,47.5155633879,27.5181818122,0
2,295.5,3,1,1,0
6,238.1666666667,1.8333333333,110.1686704882,32.3621413722,0
8,69.5,2.75,230.1178194926,28.6777784602,1
2,150,1.5,161,161,0
7,200.1428571429,2.1428571429,79.8948935307,13.8586307909,0
7,185.2857142857,2.1428571429,328.3839472554,82.7670648503,0
2,207.5,2,54.0092584656,54.0092584656,0
3,91.3333333333,1.6666666667,107.3354101765,54.0010416565,0
5,177.4,2,162.6328324432,24.0051273625,0
5,197.6,2.4,129.0828257117,29.3492816545,0
3,162.3333333333,2,247.7412668022,166.0363225613,0
8,138.75,2.5,189.3789703786,39.5194435716,0
3,218.3333333333,1.6666666667,20.677595626,10.6722206799,0
10,128.5,2.6,37.7022225142,1.7062257748,0
1,150,1,155.4252231782,155.4252231782,0
8,125.125,2,217.4415076029,55.9845288015,0
5,149.4,1.8,47.8240759881,20.8261562482,0
2,55,2.5,63.0079360081,61.003968004,1
5,145.2,1.8,245.5059703541,83.0066648158,0
14,67.3571428571,2.2142857143,104.6023520799,20.7291792282,0
19,102.3684210526,2.1578947368,288.5617903252,52.453270378,0
4,152.75,2.25,160.2713803351,99.8124045965,0
2,208,1.5,4,4,0
2,111.5,1.5,50.0099990002,50.0099990002,0
8,211.125,3,97.6768564675,11.5,0
1,216,2,307.6117683054,307.6117683054,0
4,112.5,1.75,137.6531555448,77.4899814247,0
7,201.5714285714,2.2857142857,224.1632061095,33.5795310581,0
7,96.4285714286,2.1428571429,104.7158862466,47.8024895817,0
6,123.3333333333,1.8333333333,211.6666032125,93.3473175214,0
3,68.3333333333,1.6666666667,48.0046620046,24.3356806348,0
3,244.3333333333,2,24.9212109436,12.8001831488,0
7,177.4285714286,2.2857142857,178.2480252175,34.4724190701,0
4,112.75,1.75,175.2924033674,50.5024999375,0
10,71.2,2.3,177.7300949378,35.0116073338,1
5,98.4,2,421.8675864544,152.5050121058,0
5,205.6,2.2,106.4361038048,53.5621381195,0
8,128.25,2.5,84.2727160325,35.7762235295,0
12,96.4166666667,2.8333333333,101.2987116239,18.919794543,1
4,172.75,1.75,124.2889619032,36.0035209522,0
7,110.5714285714,2.1428571429,164.6069319574,30.6239382428,0
3,158.3333333333,1.6666666667,62.670231729,31.6684587296,0
3,150.3333333333,1.6666666667,128.0069442561,96.0052081921,0
14,150.7857142857,2.0714285714,402.5608501354,96.2253042605,0
16,118.125,2.25,478.1025717195,84.2496546365,1
2,78.5,1.5,74.0067564483,74.0067564483,1
3,80.3333333333,1.6666666667,220.6706948457,142.0090308652,1
6,248.1666666667,2.1666666667,5.4145757672,1.2060113296,0
12,121.6666666667,2.5833333333,152.5339542441,18.189988642,1
3,131,1.6666666667,72.6719830763,51.0075747796,0
6,162.5,2.1666666667,189.3391241309,87.7956883068,0
3,140,1.6666666667,88.0038666159,65.3385413488,0
6,191.5,2.5,49.9128197008,25.157170092,0
2,120,1.5,19.0262975904,19.0262975904,0
48,187.7916666667,2.4375,644.0892266164,63.6324787765,0
3,180,1.6666666667,5.8041916476,3.2700832253,0
2,182.5,1.5,51.0098029794,51.0098029794,0
8,91.125,2.125,52.0343480878,11.7541840799,0
6,215.3333333333,2.3333333333,89.5217353886,43.336274408,0
7,238.7142857143,2.8571428571,30.6916100529,16.2348116085,0
1,250,3,275.7716446628,275.7716446628,0
2,196.5,2,151.3274595042,149.1654304127,0
2,250.5,2,1,1,0
1,250,1,287.5708608326,287.5708608326,0
1,250,1,256.0703028467,256.0703028467,0
2,106.5,2,255,255,0
1,249,1,334.7237667092,334.7237667092,0
7,114.2857142857,2.5714285714,96.2474214377,7.8571428571,0
2,150.5,1.5,38.0131556175,38.0131556175,0
9,205.4444444444,2.6666666667,131.2541052635,24.5560897312,0
4,194.25,1.75,164.1338382199,27.0047165614,0
3,119.3333333333,1.6666666667,21.3333333333,11,0
9,88.2222222222,2.3333333333,192.7838868825,42.0887425014,1
3,100.3333333333,1.6666666667,34.0066006599,17.3366663334,1
1,191,1,217.7062240727,217.7062240727,0
9,92,2.3333333333,278.3571980175,56.5054035369,0
5,106.2,1.8,241.8045749949,45.2147777398,1
6,55.1666666667,2.6666666667,18.8744614684,7.8503769341,1
14,129.9285714286,2.2142857143,446.5156344741,79.2022072007,0
2,120.5,1.5,33.0151480384,33.0151480384,0
4,141.25,1.75,53.9449313519,24.3027756377,0
8,123,2.25,168.3054746423,48.7034165831,0
5,249.6,1.8,91.4065816238,43.2066175521,0
20,167.5,2.4,376.5785644391,38.0011344909,0
3,139.3333333333,2,300.6825439878,196.9845716843,0
6,171.1666666667,2.3333333333,115.7139316663,15.300406489,0
6,92.3333333333,1.8333333333,249.7955918592,71.76016334,0
18,157.5,2.4444444444,311.5155169467,41.5832862323,0
8,209.625,2.125,75.8985412568,33.8894814739,0
8,130.5,2.25,319.5446633899,71.4011402859,1
4,137.5,1.75,156.5049050766,70.2634951781,1
6,100.3333333333,2.5,117.3576588826,40.7228876439,1
2,109,1.5,187.3846311734,187.3846311734,0
25,94.84,2.44,401.4772869362,37.0047367845,1
1,249,1,323.4594255853,323.4594255853,0
6,232.3333333333,2.1666666667,77.7470628189,37.7502253182,0
5,85.8,2,96.1968235262,48.9918555995,1
8,100.375,2.75,162.6439773794,20.8785663062,1
4,102.75,1.75,111.8899683966,17.0075740192,0
2,103,1.5,18,18,0
2,121.5,1.5,47.0106370942,47.0106370942,0
2,160,1.5,18.0277563773,18.0277563773,0
2,99.5,1.5,172.0029069522,172.0029069522,0
16,135.5625,2.6875,104.3114871536,10.4478540646,1
2,113,1.5,188.7326150934,188.7326150934,0
4,126.75,1.75,353.9211633588,152.2106456205,0
6,80,1.8333333333,86.7148065831,37.4832947801,0
2,175.5,1.5,101.0049503737,101.0049503737,0
3,173.3333333333,1.6666666667,130.0068375169,97.3384703042,0
19,134.8947368421,2.4210526316,476.6504778241,72.9345790357,1
3,156.3333333333,1.6666666667,249.4895734058,125.1254952004,0
4,60.25,1.75,56.3691649404,23.0476302889,0
1,65,1,110.0045453606,110.0045453606,0
2,250.5,1.5,19,19,0
2,188.5,1.5,62.0080639917,62.0080639917,0
3,150.3333333333,1.6666666667,27.3415637854,14.0041660158,0
2,149.5,1.5,120.0041665943,120.0041665943,1
24,113.0833333333,2.5,594.4591547177,45.6335778365,0
4,190.25,1.75,67.4856686901,28.4188427952,0
2,247.5,1.5,22,22,0
10,157.1,2.1,346.8675930896,41.277403504,0
2,270,1.5,20,20,0
2,83.5,1.5,298.4845054605,286.9203192478,0
6,95.1666666667,2.1666666667,181.0971993008,54.7150877477,1
6,118.3333333333,2.6666666667,102.6578279787,51.9800270461,0
4,210.25,1.75,193.7879871858,100.6776977722,0
2,267,1.5,10.0498756211,10.0498756211,0
6,102.6666666667,2.3333333333,147.4343735948,43.183482132,0
4,88.25,1.75,75.7853480014,17.5,0
5,89.8,2,143.6648027998,64.4126885107,1
1,220,2,256.9065978133,256.9065978133,0
6,114.6666666667,2.1666666667,141.800497067,23.4521553873,0
